token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
27-2	BOI069	27	princi]pali	principali	principale	ADJ	_
27-3	BOI069	27	clienti	clienti	cliente	NOUN	_
27-4	BOI069	27	sono:	sono	essere	AUX	_
27-5	BOI069	27	{P}	{P}	_	_	_
27-6	BOI069	27	<aziende>	aziende	azienda	NOUN	_
27-7	BOI069	27	grosse	grosse	grosso	ADJ	_
27-8	BOI069	27	quindi	quindi	quindi	ADV	_
27-9	BOI069	27	sono	sono	essere	AUX	_
27-10	BOI069	27	molto	molto	molto	ADV	_
27-11	BOI069	27	in	in	in	ADP	_
27-12	BOI069	27	provincia,	provincia	provincia	NOUN	Intonation=weakly_rising
27-13	BOI069	27	e:	e	e	CCONJ	_
27-14	BOI069	27	(un	un	uno	DET	_
27-15	BOI069	27	po')	po'	poco	ADV	_
27-16	BOI069	27	in	in	in	ADP	_
27-17	BOI069	27	tutto	tutto	tutto	DET	_
27-18	BOI069	27	il	il	il	DET	_
27-19	BOI069	27	nord	nord	nord	NOUN	_
27-20	BOI069	27	italia	italia	italiare	VERB	_
28-0	BOR019	28	giusto	giusto	giusto	ADJ	_
28-1	BOR019	28	giusto	giusto	giusto	ADJ	_
28-2	BOR019	28	{prende_fiato}	{prende_fiato}	_	_	_
29-0	BOR019	29	em::h	emh	emh	ADV	_
29-1	BOR019	29	ti	ti	ti	PRON	_
29-2	BOR019	29	piace	piace	piacere	VERB	_
29-3	BOR019	29	la	la	il	DET	_
29-4	BOR019	29	zona	zona	zona	NOUN	_
29-5	BOR019	29	in	in	in	ADP	_
29-6	BOR019	29	cui	cui	cui	PRON	_
29-7	BOR019	29	vivi,	vivi	vivo	ADJ	Intonation=weakly_rising
29-8	BOR019	29	{P}	{P}	_	_	_
29-9	BOR019	29	[oppu]re	oppure	oppure	CCONJ	_
30-0	BOI069	30	[sì]	sì	sì	ADV	_
31-0	BOI069	31	e::	e	e	CCONJ	_
31-1	BOI069	31	molta	molta	molto	DET	_
31-2	BOI069	31	campagna	campagna	campagna	NOUN	_
31-3	BOI069	31	{P}	{P}	_	_	_
31-4	BOI069	31	>cioè<	cioè	cioè	CCONJ	_
31-5	BOI069	31	sono:	sono	essere	AUX	_
31-6	BOI069	31	<disperso>	disperso	disperdere	VERB	_
31-7	BOI069	31	in	in	in	ADP	_
31-8	BOI069	31	campagna	campagna	campagna	NOUN	_
32-0	BOR019	32	ah	ah	ah	INTJ	_
32-1	BOR019	32	[okay]	okay	okay	NOUN	_
33-0	BOI069	33	[(>perché<)	perché	perché	SCONJ	_
33-1	BOI069	33	sono	sono	essere	AUX	_
33-2	BOI069	33	in]	in	in	ADP	_
33-3	BOI069	33	<periferia>	periferia	periferia	NOUN	_
33-4	BOI069	33	nel	nel	_	_	_
33-4a	_	_	_	in	in	ADP	_
33-4b	_	_	_	il	il	DET	_
33-5	BOI069	33	paese	paese	paese	NOUN	_
33-6	BOI069	33	dove	dove	dove	ADV	_
33-7	BOI069	33	abito,	abito	abire	VERB	Intonation=weakly_rising
33-8	BOI069	33	quindi	quindi	quindi	ADV	_
33-9	BOI069	33	{P}	{P}	_	_	_
33-10	BOI069	33	molta	molta	molto	DET	_
33-11	BOI069	33	campagna,	campagna	campagna	NOUN	Intonation=weakly_rising
33-12	BOI069	33	(tutta)	tutta	tutto	DET	_
33-13	BOI069	33	c'	c'	ci	PRON	SpaceAfter=No
33-14	BOI069	33	è	è	essere	VERB	_
33-15	BOI069	33	molta	molta	molto	DET	_
33-16	BOI069	33	tranquillità,	tranquillità	tranquillità	NOUN	Intonation=weakly_rising
33-17	BOI069	33	{P}	{P}	_	_	_
33-18	BOI069	33	pochissimo	pochissimo	poche	ADV	_
33-19	BOI069	33	traffico	traffico	trafficare	VERB	_
33-20	BOI069	33	quindi:	quindi	quindi	ADV	_
33-21	BOI069	33	{P}	{P}	_	_	_
33-22	BOI069	33	una	una	uno	DET	_
33-23	BOI069	33	zona	zona	zona	NOUN	_
33-24	BOI069	33	molto	molto	molto	ADV	_
33-25	BOI069	33	rilassante	rilassante	rilassante	ADJ	_
34-0	BOR019	34	m:h	mh	mh	INTJ	_
34-1	BOR019	34	>bene	bene	bene	ADV	_
34-2	BOR019	34	bene<	bene	bene	ADV	_
35-0	BOR019	35	{prende_fiato}	{prende_fiato}	_	_	_
35-1	BOR019	35	MA	ma	ma	CCONJ	Volume=high
35-2	BOR019	35	{P}	{P}	_	_	_
35-3	BOR019	35	è	è	essere	AUX	_
35-4	BOR019	35	collegata	collegata	collegare	VERB	_
35-5	BOR019	35	bene	bene	bene	ADV	_
35-6	BOR019	35	con	con	con	ADP	_
35-7	BOR019	35	bologna?	bologna	bologna	NOUN	Intonation=rising
35-8	BOR019	35	>cioè<	cioè	cioè	CCONJ	_
35-9	BOR019	35	con	con	con	ADP	_
35-10	BOR019	35	i	i	il	DET	_
35-11	BOR019	35	mezzi::	mezzi	mezzo	NOUN	_
36-0	BOI069	36	<direi>	direi	dire	VERB	_
36-1	BOI069	36	abbastanza	abbastanza	abbastanza	ADV	_
36-2	BOI069	36	bene:	bene	bene	ADV	_
36-3	BOI069	36	{P}	{P}	_	_	_
36-4	BOI069	36	fuo~	fuo~	fuo~	PROPN	Interrupted=Yes
36-5	BOI069	36	subito	subito	subito	ADV	_
36-6	BOI069	36	fuori	fuori	fuori	ADV	_
36-7	BOI069	36	dalla	dalla	_	_	_
36-7a	_	_	_	da	da	ADP	_
36-7b	_	_	_	la	il	DET	_
36-8	BOI069	36	via	via	via	NOUN	_
36-9	BOI069	36	dove	dove	dove	ADV	_
36-10	BOI069	36	abito::	abito	abitare	VERB	_
36-11	BOI069	36	{P}	{P}	_	_	_
36-12	BOI069	36	una	una	uno	DET	_
36-13	BOI069	36	linea	linea	linea	NOUN	_
36-14	BOI069	36	di	di	di	ADP	_
36-15	BOI069	36	autobus	autobus	autobus	NOUN	_
36-16	BOI069	36	che	che	che	PRON	_
36-17	BOI069	36	mi	mi	mi	PRON	_
36-18	BOI069	36	arriva	arriva	arrivare	VERB	_
36-19	BOI069	36	direttamente	direttamente	direttamente	ADV	_
36-20	BOI069	36	in	in	in	ADP	_
36-21	BOI069	36	stazione,	stazione	stazione	NOUN	Intonation=weakly_rising
36-22	BOI069	36	in	in	in	ADP	_
36-23	BOI069	36	centro	centro	centro	NOUN	_
36-24	BOI069	36	a	a	a	ADP	_
36-25	BOI069	36	bologna:	bologna	bologna	NOUN	_
37-0	BOI069	37	e:h	eh	eh	INTJ	_
37-1	BOI069	37	>proprio<	proprio	proprio	ADV	_
37-2	BOI069	37	la	la	il	DET	_
37-3	BOI069	37	via	via	via	NOUN	_
37-4	BOI069	37	emilia	emilia	emiliare	VERB	_
37-5	BOI069	37	quindi:	quindi	quindi	ADV	_
37-6	BOI069	37	{P}	{P}	_	_	_
37-7	BOI069	37	una	una	uno	DET	_
37-8	BOI069	37	via	via	via	NOUN	_
37-9	BOI069	37	[perfetta]	perfetta	perfetto	ADJ	_
37-10	BOI069	37	per	per	per	ADP	_
37-11	BOI069	37	raggiungere	raggiungere	raggiungere	VERB	_
37-12	BOI069	37	sia	sia	sia	CCONJ	_
37-13	BOI069	37	bologna,	bologna	bolognare	VERB	Intonation=weakly_rising
37-14	BOI069	37	che	che	che	SCONJ	_
37-15	BOI069	37	altre	altre	altro	PRON	_
37-16	BOI069	37	(x)	x	x	SYM	_
37-17	BOI069	37	altre	altre	altro	ADJ	_
37-18	BOI069	37	città	città	città	NOUN	_
37-19	BOI069	37	tipo	tipo	tipo	NOUN	_
37-20	BOI069	37	modena	modena	modenare	VERB	_
38-0	BOR019	38	[okay]	okay	okay	NOUN	_
39-0	BOR019	39	ho	ho	avere	AUX	_
39-1	BOR019	39	capito	capito	capere	VERB	_
39-2	BOR019	39	{P}	{P}	_	_	_
39-3	BOR019	39	ho	ho	avere	AUX	_
39-4	BOR019	39	capito	capito	capere	VERB	_
39-5	BOR019	39	okay	okay	okay	NOUN	_
39-6	BOR019	39	MA	ma	ma	CCONJ	Volume=high
39-7	BOR019	39	quando	quando	quando	SCONJ	_
39-8	BOR019	39	andavi	andavi	andavare	VERB	_
39-9	BOR019	39	a	a	a	ADP	_
39-10	BOR019	39	scuola,	scuola	scuola	NOUN	Intonation=weakly_rising
40-0	BOR019	40	>cioè<	cioè	cioè	ADV	_
40-1	BOR019	40	comunque	comunque	comunque	ADV	_
40-2	BOR019	40	riuscivi	riuscivi	riuscivo	ADJ	_
40-3	BOR019	40	ad	ad	a	ADP	_
40-4	BOR019	40	andare	andare	andare	VERB	_
40-5	BOR019	40	con::	con	con	ADP	_
40-6	BOR019	40	gli	gli	il	DET	_
40-7	BOR019	40	au[tobus]	autobus	autobus	NOUN	_
